watchlist_group_name,watchlist_name,exchange_code,ticker,gics_sector_code
GICS Sector Indices,ASX Sectors,ASX,XEJ,10
GICS Sector Indices,ASX Sectors,ASX,XMJ,15
GICS Sector Indices,ASX Sectors,ASX,XNJ,20
GICS Sector Indices,ASX Sectors,ASX,XDJ,25
GICS Sector Indices,ASX Sectors,ASX,XSJ,30
GICS Sector Indices,ASX Sectors,ASX,XHJ,35
GICS Sector Indices,ASX Sectors,ASX,XFJ,40
GICS Sector Indices,ASX Sectors,ASX,XIJ,45
GICS Sector Indices,ASX Sectors,ASX,XTJ,50
GICS Sector Indices,ASX Sectors,ASX,XUJ,55
GICS Sector Indices,ASX Sectors,ASX,XPJ,60